GB	cluster
GB52036	C4
GB52047	C5
GB52052	C5
GB52058	C7
GB52063	C2
GB52069	C2
GB52084	C1
GB52090	C1
GB52114	C2
GB52118	C1
GB52120	C7
GB52121	C8
GB52154	C2
GB52164	C5
GB52196	C2
GB52197	C1
GB52236	C5
GB52239	C5
GB52246	C1
GB52250	C6
GB52255	C7
GB52262	C5
GB52289	C3
GB52304	C5
GB52314	C4
GB52315	C2
GB52316	C1
GB52323	C5
GB52331	C2
GB52343	C6
GB52349	C1
GB52353	C4
GB52369	C4
GB52402	C7
GB52406	C6
GB52428	C6
GB52429	C2
GB52434	C6
GB52438	C8
GB52453	C4
GB52458	C1
GB52459	C1
GB52469	C8
GB52470	C6
GB52472	C5
GB52473	C4
GB52492	C4
GB52499	C2
GB52509	C7
GB52526	C3
GB52527	C1
GB52563	C1
GB52577	C4
GB52591	C2
GB52600	C5
GB52614	C1
GB52625	C3
GB52628	C1
GB52631	C2
GB52643	C8
GB52647	C1
GB52653	C7
GB52655	C2
GB52658	C1
GB52660	C5
GB52677	C1
GB52685	C8
GB52687	C3
GB52706	C2
GB52710	C6
GB52717	C4
GB52723	C2
GB52725	C6
GB52729	C1
GB52743	C8
GB52744	C4
GB52746	C5
GB52753	C4
GB52767	C3
GB52768	C1
GB52773	C3
GB52778	C3
GB52783	C6
GB52789	C4
GB52798	C1
GB52812	C2
GB52852	C1
GB52880	C2
GB52887	C6
GB52888	C3
GB52895	C8
GB52904	C1
GB52916	C1
GB52918	C2
GB52925	C1
GB52948	C4
GB52953	C3
GB52966	C2
GB52977	C4
GB52983	C1
GB52988	C1
GB52994	C7
GB53005	C1
GB53012	C3
GB53013	C3
GB53014	C5
GB53015	C3
GB53019	C4
GB53030	C5
GB53031	C8
GB53032	C5
GB53043	C8
GB53044	C8
GB53059	C2
GB53086	C2
GB53093	C7
GB53096	C2
GB53131	C6
GB53132	C1
GB53135	C4
GB53136	C7
GB53139	C3
GB53164	C3
GB53164	C4
GB53167	C1
GB53173	C7
GB53174	C1
GB53184	C4
GB53192	C4
GB53201	C1
GB53208	C5
GB53220	C3
GB53228	C4
GB53229	C3
GB53233	C6
GB53238	C2
GB53243	C1
GB53250	C7
GB53270	C8
GB53288	C5
GB53294	C3
GB53296	C3
GB53315	C1
GB53316	C2
GB53318	C5
GB53327	C7
GB53328	C1
GB53333	C2
GB53336	C3
GB53338	C5
GB53339	C6
GB53350	C2
