GB	pattern
GB46136	C2
GB41817	C2
GB55127	C2
GB50417	C2
GB48657	C2
GB40520	C2
GB54563	C2
GB40116	C2
GB40394	C2
GB43534	C2
GB48712	C2
GB47872	C2
GB40210	C2
GB55089	C2
GB41879	C2
GB42157	C2
GB54744	C2
GB51471	C2
GB43049	C2
GB50046	C2
GB48441	C2
GB42179	C2
GB45299	C2
GB43646	C2
GB40942	C2
GB50604	C2
GB43254	C2
GB47019	C2
GB51416	C2
GB52795	C2
GB52808	C2
GB42627	C2
GB54663	C2
GB52565	C2
GB49842	C2
GB54694	C2
GB48090	C2
GB49645	C2
GB45990	C2
GB50588	C2
GB46683	C2
GB44955	C2
GB48704	C2
GB55519	C2
GB52492	C2
GB46874	C2
GB49140	C2
GB44255	C2
GB42574	C2
GB53281	C2
GB41318	C2
GB53952	C2
GB43589	C2
GB49737	C2
GB45789	C2
GB53511	C2
GB55087	C2
GB45027	C2
GB41995	C2
GB46185	C2
GB51870	C2
GB52490	C2
GB46389	C2
GB45845	C2
GB44465	C2
GB52299	C2
GB43915	C2
GB46717	C2
GB40724	C2
GB53998	C2
GB52301	C2
GB40347	C2
GB52049	C2
GB47873	C2
GB54768	C2
GB51180	C2
GB42530	C2
GB42090	C2
GB44921	C2
GB51450	C2
GB44785	C2
GB55554	C2
GB48392	C2
GB49856	C2
GB45996	C2
GB44142	C2
GB50707	C2
GB49617	C2
GB46867	C2
GB51351	C2
GB46154	C2
